# 251020_12:29:09.553290
t	CH1	CH2
0.000000e+00	4.474508e-03	-2.251565e-01
1.000000e-08	1.845267e-03	-4.988130e-01
2.000000e-08	-1.604659e-03	-8.114500e-01
3.000000e-08	-1.023042e-03	-1.054630e+00
4.000000e-08	-1.267987e-03	-1.309569e+00
5.000000e-08	-4.770005e-03	-1.611655e+00
6.000000e-08	4.526406e-03	-1.866280e+00
7.000000e-08	3.328044e-02	-2.075254e+00
8.000000e-08	9.360090e-02	-2.372076e+00
9.000000e-08	-6.616783e-02	-2.732569e+00
1.000000e-07	6.274935e-04	-3.233496e+00
1.100000e-07	-4.754471e-02	-3.423605e+00
1.200000e-07	-2.383043e-02	-3.654159e+00
1.300000e-07	-1.088931e-01	-3.968920e+00
1.400000e-07	1.156469e-01	-4.106263e+00
1.500000e-07	8.007713e-03	-4.318917e+00
1.600000e-07	-6.346416e-02	-4.647778e+00
1.700000e-07	1.883703e-01	-4.906683e+00
1.800000e-07	-1.466238e-01	-5.211523e+00
1.900000e-07	9.937693e-02	-5.581496e+00
2.000000e-07	-7.188551e-02	-5.811021e+00
2.100000e-07	-6.321341e-02	-6.115358e+00
2.200000e-07	8.840687e-02	-6.337920e+00
2.300000e-07	-9.472145e-02	-6.592075e+00
2.400000e-07	1.236180e-01	-6.897832e+00
2.500000e-07	-4.950701e-02	-7.107363e+00
2.600000e-07	3.830730e-02	-7.504758e+00
2.700000e-07	-1.376016e-03	-7.715312e+00
2.800000e-07	-6.710448e-02	-8.012699e+00
2.900000e-07	7.511423e-02	-8.254207e+00
3.000000e-07	-9.812466e-02	-8.485758e+00
3.100000e-07	9.611378e-02	-8.830022e+00
3.200000e-07	-4.230974e-02	-8.998468e+00
3.300000e-07	4.042526e-02	-9.270750e+00
3.400000e-07	-7.782932e-04	-9.472079e+00
3.500000e-07	-2.225124e-02	-9.705286e+00
3.600000e-07	2.492213e-02	-9.948339e+00
3.700000e-07	-5.009155e-02	-1.014876e+01
3.800000e-07	5.379351e-02	-1.044955e+01
3.900000e-07	-3.414969e-02	-1.058950e+01
4.000000e-07	5.448151e-02	-1.079957e+01
4.100000e-07	-2.518874e-02	-1.104042e+01
4.200000e-07	1.572779e-02	-1.123105e+01
4.300000e-07	-1.454061e-02	-1.147373e+01
4.400000e-07	-6.655209e-04	-1.167113e+01
4.500000e-07	3.690554e-03	-1.186413e+01
4.600000e-07	-2.818778e-03	-1.208215e+01
4.700000e-07	2.130269e-02	-1.223270e+01
4.800000e-07	4.056053e-04	-1.246160e+01
4.900000e-07	1.957962e-02	-1.262098e+01
5.000000e-07	-9.606670e-03	-1.280795e+01
5.100000e-07	4.283760e-03	-1.294636e+01
5.200000e-07	-1.264204e-02	-1.312788e+01
5.300000e-07	8.627432e-03	-1.329316e+01
5.400000e-07	1.854296e-04	-1.344057e+01
5.500000e-07	1.703430e-02	-1.361740e+01
5.600000e-07	5.993120e-03	-1.370428e+01
5.700000e-07	1.270330e-02	-1.389366e+01
5.800000e-07	3.390851e-03	-1.404849e+01
5.900000e-07	2.571807e-03	-1.416785e+01
6.000000e-07	-1.870346e-03	-1.429383e+01
6.100000e-07	1.230211e-03	-1.441857e+01
6.200000e-07	7.718062e-03	-1.455534e+01
6.300000e-07	8.015978e-03	-1.466003e+01
6.400000e-07	1.239462e-02	-1.477476e+01
6.500000e-07	8.897223e-03	-1.482055e+01
6.600000e-07	1.109332e-02	-1.496268e+01
6.700000e-07	5.989133e-03	-1.502940e+01
6.800000e-07	3.940138e-03	-1.507268e+01
6.900000e-07	4.255496e-03	-1.516742e+01
7.000000e-07	8.405533e-03	-1.525102e+01
7.100000e-07	1.057584e-02	-1.534366e+01
7.200000e-07	1.065889e-02	-1.537532e+01
7.300000e-07	9.741015e-03	-1.543854e+01
7.400000e-07	1.070934e-02	-1.548263e+01
7.500000e-07	1.198381e-02	-1.554521e+01
7.600000e-07	9.992999e-03	-1.556629e+01
7.700000e-07	9.013279e-03	-1.560587e+01
7.800000e-07	1.138426e-02	-1.561645e+01
7.900000e-07	1.459632e-02	-1.563800e+01
8.000000e-07	1.476502e-02	-1.567102e+01
8.100000e-07	1.368110e-02	-1.573005e+01
8.200000e-07	1.313890e-02	-1.567111e+01
8.300000e-07	1.455787e-02	-1.570002e+01
8.400000e-07	1.610430e-02	-1.568845e+01
8.500000e-07	1.689289e-02	-1.564804e+01
8.600000e-07	1.787679e-02	-1.563890e+01
8.700000e-07	1.849008e-02	-1.561786e+01
8.800000e-07	1.921290e-02	-1.555726e+01
8.900000e-07	1.937929e-02	-1.554268e+01
9.000000e-07	1.847182e-02	-1.552358e+01
9.100000e-07	1.918685e-02	-1.544855e+01
9.200000e-07	1.951338e-02	-1.541434e+01
9.300000e-07	1.994890e-02	-1.536321e+01
9.400000e-07	1.910767e-02	-1.526953e+01
9.500000e-07	1.834477e-02	-1.523642e+01
9.600000e-07	1.698003e-02	-1.513161e+01
9.700000e-07	1.487357e-02	-1.502850e+01
9.800000e-07	1.327785e-02	-1.497522e+01
9.900000e-07	1.183543e-02	-1.490005e+01
1.000000e-06	1.111409e-02	-1.479584e+01
1.010000e-06	1.141039e-02	-1.473960e+01
1.020000e-06	1.150281e-02	-1.460237e+01
1.030000e-06	1.042913e-02	-1.447852e+01
1.040000e-06	9.667258e-03	-1.435276e+01
1.050000e-06	7.508203e-03	-1.426632e+01
1.060000e-06	7.493082e-03	-1.411915e+01
1.070000e-06	6.374977e-03	-1.392223e+01
1.080000e-06	5.920150e-03	-1.384682e+01
1.090000e-06	6.001351e-03	-1.370700e+01
1.100000e-06	5.795624e-03	-1.352155e+01
1.110000e-06	5.813194e-03	-1.337326e+01
1.120000e-06	4.798890e-03	-1.322692e+01
1.130000e-06	4.283511e-03	-1.309998e+01
1.140000e-06	3.907645e-03	-1.291070e+01
1.150000e-06	3.998959e-03	-1.275116e+01
1.160000e-06	3.672697e-03	-1.259276e+01
1.170000e-06	2.782599e-03	-1.239692e+01
1.180000e-06	2.672785e-03	-1.221490e+01
1.190000e-06	2.862301e-03	-1.201586e+01
