# 251020_12:16:45.098332
t	CH1	CH2
0.000000e+00	4.514368e-03	-2.531378e-01
1.000000e-08	1.223644e-03	-5.472157e-01
2.000000e-08	-1.160571e-03	-8.405789e-01
3.000000e-08	-1.206392e-03	-1.113183e+00
4.000000e-08	-7.273439e-04	-1.447348e+00
5.000000e-08	-5.063632e-03	-1.681028e+00
6.000000e-08	8.952284e-03	-1.894716e+00
7.000000e-08	5.395034e-02	-2.156771e+00
8.000000e-08	6.970596e-02	-2.483061e+00
9.000000e-08	-7.807284e-02	-2.872085e+00
1.000000e-07	7.946117e-03	-3.311163e+00
1.100000e-07	-4.887513e-02	-3.524712e+00
1.200000e-07	-3.729224e-02	-3.754264e+00
1.300000e-07	-8.178222e-02	-4.018472e+00
1.400000e-07	1.790709e-01	-4.158402e+00
1.500000e-07	-1.228815e-01	-4.428529e+00
1.600000e-07	9.023461e-02	-4.796272e+00
1.700000e-07	7.380185e-02	-4.977352e+00
1.800000e-07	-1.151492e-01	-5.313344e+00
1.900000e-07	1.336312e-01	-5.642556e+00
2.000000e-07	-1.641805e-01	-5.862637e+00
2.100000e-07	6.004704e-02	-6.260456e+00
2.200000e-07	4.003249e-03	-6.420985e+00
2.300000e-07	-3.829719e-02	-6.775276e+00
2.400000e-07	1.260125e-01	-7.040835e+00
2.500000e-07	-9.539647e-02	-7.253141e+00
2.600000e-07	1.060053e-01	-7.659381e+00
2.700000e-07	-9.392151e-02	-7.828981e+00
2.800000e-07	3.420123e-02	-8.154798e+00
2.900000e-07	2.927550e-03	-8.336374e+00
3.000000e-07	-4.744070e-02	-8.620018e+00
3.100000e-07	9.817806e-02	-8.922568e+00
3.200000e-07	-7.011273e-02	-9.102617e+00
3.300000e-07	8.897864e-02	-9.377303e+00
3.400000e-07	-6.060734e-02	-9.547426e+00
3.500000e-07	3.975235e-02	-9.821010e+00
3.600000e-07	-2.792827e-02	-1.005096e+01
3.700000e-07	3.223935e-03	-1.029256e+01
3.800000e-07	2.743304e-02	-1.053378e+01
3.900000e-07	-1.265528e-02	-1.069566e+01
4.000000e-07	5.238522e-02	-1.095672e+01
4.100000e-07	-3.310069e-02	-1.115378e+01
4.200000e-07	3.405832e-02	-1.138785e+01
4.300000e-07	-3.295620e-02	-1.162881e+01
4.400000e-07	2.606730e-02	-1.179936e+01
4.500000e-07	-1.417404e-02	-1.202099e+01
4.600000e-07	2.220363e-02	-1.222803e+01
4.700000e-07	5.038482e-03	-1.239946e+01
4.800000e-07	1.805214e-02	-1.259788e+01
4.900000e-07	8.732059e-03	-1.275740e+01
5.000000e-07	9.516714e-04	-1.292640e+01
5.100000e-07	-6.311550e-04	-1.307272e+01
5.200000e-07	-3.102539e-03	-1.326962e+01
5.300000e-07	1.008465e-02	-1.344084e+01
5.400000e-07	6.203498e-03	-1.358838e+01
5.500000e-07	1.825821e-02	-1.376580e+01
5.600000e-07	3.754895e-03	-1.388420e+01
5.700000e-07	1.556208e-02	-1.408107e+01
5.800000e-07	-4.638139e-04	-1.415888e+01
5.900000e-07	7.311189e-03	-1.433380e+01
6.000000e-07	-3.046801e-03	-1.444207e+01
6.100000e-07	7.454612e-03	-1.455635e+01
6.200000e-07	7.233947e-03	-1.472410e+01
6.300000e-07	1.215224e-02	-1.481936e+01
6.400000e-07	1.232297e-02	-1.491317e+01
6.500000e-07	7.454265e-03	-1.500999e+01
6.600000e-07	7.431395e-03	-1.506214e+01
6.700000e-07	1.838291e-03	-1.520833e+01
6.800000e-07	2.896158e-03	-1.525099e+01
6.900000e-07	3.891897e-03	-1.534385e+01
7.000000e-07	7.804313e-03	-1.542041e+01
7.100000e-07	9.918090e-03	-1.544117e+01
7.200000e-07	1.164935e-02	-1.556570e+01
7.300000e-07	9.144933e-03	-1.559731e+01
7.400000e-07	7.376280e-03	-1.562811e+01
7.500000e-07	4.698501e-03	-1.573267e+01
7.600000e-07	4.852191e-03	-1.573520e+01
7.700000e-07	3.858029e-03	-1.575785e+01
7.800000e-07	5.966195e-03	-1.579889e+01
7.900000e-07	8.603644e-03	-1.580048e+01
8.000000e-07	1.101155e-02	-1.580109e+01
8.100000e-07	9.727292e-03	-1.581951e+01
8.200000e-07	7.054883e-03	-1.584101e+01
8.300000e-07	6.066590e-03	-1.582052e+01
8.400000e-07	5.739133e-03	-1.579151e+01
8.500000e-07	6.143165e-03	-1.577901e+01
8.600000e-07	5.561221e-03	-1.576893e+01
8.700000e-07	6.062027e-03	-1.571581e+01
8.800000e-07	8.051433e-03	-1.572532e+01
8.900000e-07	1.006507e-02	-1.569369e+01
9.000000e-07	8.330386e-03	-1.563852e+01
9.100000e-07	6.043106e-03	-1.559936e+01
9.200000e-07	5.645286e-03	-1.555633e+01
9.300000e-07	5.658925e-03	-1.550314e+01
9.400000e-07	6.477913e-03	-1.539099e+01
9.500000e-07	5.865956e-03	-1.534635e+01
9.600000e-07	6.320504e-03	-1.525117e+01
9.700000e-07	7.522527e-03	-1.515638e+01
9.800000e-07	7.508136e-03	-1.511325e+01
9.900000e-07	6.343895e-03	-1.498746e+01
1.000000e-06	6.108329e-03	-1.488533e+01
1.010000e-06	6.081315e-03	-1.481959e+01
1.020000e-06	6.724623e-03	-1.470423e+01
1.030000e-06	4.686914e-03	-1.460946e+01
1.040000e-06	5.194407e-03	-1.444417e+01
1.050000e-06	5.449822e-03	-1.434545e+01
1.060000e-06	6.149774e-03	-1.425153e+01
1.070000e-06	5.841233e-03	-1.411417e+01
1.080000e-06	4.932503e-03	-1.394583e+01
1.090000e-06	5.246080e-03	-1.375998e+01
1.100000e-06	5.158708e-03	-1.362014e+01
1.110000e-06	5.073846e-03	-1.344317e+01
1.120000e-06	4.452553e-03	-1.332437e+01
1.130000e-06	3.545297e-03	-1.312791e+01
1.140000e-06	4.007466e-03	-1.301051e+01
1.150000e-06	4.237270e-03	-1.284216e+01
1.160000e-06	4.787529e-03	-1.264106e+01
1.170000e-06	4.480990e-03	-1.249460e+01
1.180000e-06	4.129201e-03	-1.230527e+01
1.190000e-06	3.974164e-03	-1.213687e+01
1.200000e-06	3.882879e-03	-1.195427e+01
1.210000e-06	3.768074e-03	-1.168327e+01
